jahr,Energietraeger,gerundet
1990,Brennstoffe,23.409
1990,Treibstoffe,15.449
1991,Brennstoffe,23.251
1991,Treibstoffe,15.929
1992,Brennstoffe,23.849
1992,Treibstoffe,16.259
1993,Brennstoffe,22.656
1993,Treibstoffe,15.217
1994,Brennstoffe,22.931
1994,Treibstoffe,15.399
1995,Brennstoffe,22.702
1995,Treibstoffe,15.101
1996,Brennstoffe,21.872
1996,Treibstoffe,15.16
1997,Brennstoffe,22.739
1997,Treibstoffe,15.736
1998,Brennstoffe,23.212
1998,Treibstoffe,15.964
1999,Brennstoffe,22.226
1999,Treibstoffe,16.569
2000,Brennstoffe,22.461
2000,Treibstoffe,16.836
2001,Brennstoffe,22.744
2001,Treibstoffe,16.559
2002,Brennstoffe,22.378
2002,Treibstoffe,16.514
2003,Brennstoffe,22.183
2003,Treibstoffe,16.683
2004,Brennstoffe,22.332
2004,Treibstoffe,16.809
2005,Brennstoffe,22.058
2005,Treibstoffe,16.893
2006,Brennstoffe,21.87
2006,Treibstoffe,17.03
2007,Brennstoffe,21.473
2007,Treibstoffe,17.355
2008,Brennstoffe,20.874
2008,Treibstoffe,17.706
2009,Brennstoffe,20.364
2009,Treibstoffe,17.515
2010,Brennstoffe,20.081
2010,Treibstoffe,17.417
2011,Brennstoffe,19.542
2011,Treibstoffe,17.225
2012,Brennstoffe,19.203
2012,Treibstoffe,17.347
2013,Brennstoffe,18.862
2013,Treibstoffe,17.258
2014,Brennstoffe,18.362
2014,Treibstoffe,17.154
2015,Brennstoffe,17.86
2015,Treibstoffe,16.415
2016,Brennstoffe,17.543
2016,Treibstoffe,16.247
2017,Brennstoffe,17.207
2017,Treibstoffe,15.963
2018,Brennstoffe,16.796
2018,Treibstoffe,15.956
2019,Brennstoffe,16.436
2019,Treibstoffe,15.895
2020,Brennstoffe,16.117
2020,Treibstoffe,14.598
2021,Brennstoffe,15.746
2021,Treibstoffe,14.777
2022,Brennstoffe,14.981
2022,Treibstoffe,14.613
2023,Brennstoffe,13.656
2023,Treibstoffe,14.639
